# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sat, 21 Sep 2024 03:02:30 +0200
#
# IP	number of (black)lists
#
183.81.169.238	10
45.148.10.46	9
45.148.10.242	9
85.209.11.27	9
85.209.11.254	9
134.209.208.37	9
159.65.147.193	9
194.169.175.37	9
194.169.175.38	9
209.38.249.215	9
14.40.8.125	8
80.82.77.139	8
80.82.77.202	8
82.151.65.155	8
89.235.116.181	8
93.113.63.8	8
93.174.95.106	8
109.120.176.11	8
128.199.225.7	8
144.22.192.181	8
165.23.42.204	8
178.20.55.16	8
192.42.116.219	8
193.32.162.65	8
194.50.16.26	8
213.109.202.127	8
8.216.92.182	7
37.156.28.169	7
43.152.205.229	7
43.156.236.44	7
45.84.89.2	7
45.84.89.3	7
45.119.84.81	7
45.139.122.176	7
46.50.205.61	7
60.173.114.254	7
60.247.92.186	7
61.191.130.198	7
66.240.192.138	7
80.67.167.81	7
80.75.212.9	7
80.82.77.33	7
92.55.190.215	7
92.118.39.133	7
92.255.85.253	7
101.126.5.109	7
106.12.222.76	7
112.13.87.24	7
115.21.60.8	7
134.122.8.241	7
138.68.88.167	7
139.59.92.140	7
146.19.191.138	7
154.213.184.15	7
159.223.105.130	7
165.22.16.134	7
167.71.139.8	7
185.165.191.27	7
185.220.100.252	7
192.42.116.178	7
192.42.116.218	7
193.32.162.29	7
193.32.162.79	7
193.32.162.83	7
202.125.139.10	7
206.168.34.41	7
206.168.34.119	7
206.168.34.203	7
206.168.34.214	7
206.168.34.220	7
211.253.10.96	7
212.76.27.39	7
80.67.172.162	7
185.129.62.62	7
1.27.171.46	6
1.30.20.98	6
4.151.228.58	6
5.42.74.254	6
8.138.154.105	6
8.209.243.192	6
8.211.222.14	6
8.216.83.6	6
8.216.85.26	6
8.216.86.166	6
8.216.91.100	6
8.216.95.92	6
8.216.121.252	6
8.217.10.15	6
8.220.201.94	6
8.220.214.211	6
8.242.175.222	6
13.64.107.162	6
13.87.132.70	6
13.91.165.91	6
14.38.13.57	6
14.50.17.15	6
14.103.41.23	6
14.103.44.203	6
14.155.68.147	6
14.195.113.179	6
15.235.163.70	6
23.158.56.109	6
24.168.197.168	6
27.71.26.179	6
27.185.52.202	6
27.254.207.91	6
35.207.98.222	6
36.67.197.52	6
36.134.78.151	6
36.255.159.130	6
41.84.132.142	6
41.138.59.18	6
41.216.84.18	6
42.4.212.4	6
43.153.68.27	6
43.167.243.32	6
43.241.132.10	6
45.156.128.56	6
45.156.130.22	6
45.169.42.192	6
47.117.37.29	6
47.185.253.146	6
47.251.99.88	6
47.254.122.160	6
50.171.64.170	6
50.225.176.238	6
51.83.72.156	6
51.89.153.112	6
57.152.56.32	6
58.216.181.148	6
59.4.55.162	6
60.8.35.50	6
60.12.48.38	6
60.167.19.30	6
60.168.131.3	6
60.222.238.115	6
60.223.251.251	6
60.223.252.57	6
60.223.255.130	6
61.81.143.68	6
61.138.113.187	6
61.154.122.122	6
66.240.236.109	6
68.183.221.93	6
71.6.134.231	6
71.6.134.232	6
71.6.134.233	6
71.6.134.234	6
71.6.167.142	6
71.6.199.23	6
73.211.34.234	6
76.184.135.136	6
77.137.41.62	6
77.242.95.52	6
78.107.195.230	6
79.175.176.225	6
80.66.83.225	6
80.75.212.58	6
80.76.42.88	6
80.82.70.133	6
80.94.95.81	6
80.253.31.232	6
82.148.1.224	6
85.24.208.234	6
85.172.189.189	6
85.192.61.181	6
87.103.126.54	6
89.97.218.142	6
89.248.172.16	6
91.74.43.17	6
91.108.244.107	6
91.196.54.125	6
91.205.128.170	6
92.255.85.107	6
94.141.102.140	6
94.206.41.18	6
95.214.55.43	6
96.10.144.195	6
98.14.144.113	6
101.13.4.76	6
101.36.122.5	6
101.231.247.210	6
102.164.208.179	6
103.11.195.101	6
103.30.17.28	6
103.86.180.10	6
103.91.136.18	6
103.123.62.156	6
103.127.111.234	6
103.160.154.23	6
103.192.199.244	6
103.194.243.187	6
103.237.144.204	6
